VendorName,UnsoldInventoryValue
DIAGEO NORTH AMERICA INC,722.21K
JIM BEAM BRANDS COMPANY,554.67K
PERNOD RICARD USA,470.63K
WILLIAM GRANT & SONS INC,401.96K
E & J GALLO WINERY,228.28K
SAZERAC CO INC,198.44K
BROWN-FORMAN CORP,177.73K
CONSTELLATION BRANDS INC,133.62K
MOET HENNESSY USA INC,126.48K
REMY COINTREAU USA INC,118.60K
MAJESTIC FINE WINES,114.46K
WINE GROUP INC,86.86K
EDRINGTON AMERICAS,84.03K
HEAVEN HILL DISTILLERIES,63.19K
PROXIMO SPIRITS INC.,62.74K
STE MICHELLE WINE ESTATES,41.64K
TRINCHERO FAMILY ESTATES,27.90K
VINEYARD BRANDS INC,26.30K
SAZERAC NORTH AMERICA INC.,25.67K
TREASURY WINE ESTATES,24.00K
CALEDONIA SPIRITS INC,21.69K
CAMPARI AMERICA,19.86K
SWEET BABY VINEYARD,16.97K
LATITUDE BEVERAGE COMPANY,16.94K
BANFI PRODUCTS CORP,15.70K
DUGGANS DISTILLED PRODUCTS,13.69K
VINILANDIA USA,13.04K
MANGO BOTTLING INC,12.71K
Dunn Wine Brokers,12.30K
"STOLI GROUP,(USA) LLC",11.63K
DELICATO VINEYARDS INC,7.84K
PSP WINES,7.40K
PARK STREET IMPORTS LLC,7.39K
MOONLIGHT MEADERY,7.36K
SEA HAGG DISTILLERY LLC,6.62K
KLIN SPIRITS LLC,5.17K
TAMWORTH DISTILLING,4.84K
OLE SMOKY DISTILLERY LLC,4.10K
SHAW ROSS INT L IMP LTD,3.80K
AMERICAN VINTAGE BEVERAGE,3.67K
SOUTHERN GLAZERS W&S OF NE,3.62K
BULLY BOY DISTILLERS,3.43K
SWEETWATER FARM,3.36K
JEWELL TOWNE VINEYARDS,3.11K
DJINN SPIRITS LLC,3.04K
LABELLE VYDS AND WINERY,2.88K
ZORVINO VINEYARDS,2.86K
CHARLES JACQUIN ET CIE INC,2.59K
SEA BREEZE CELLARS LLC,2.44K
Circa Wines,2.26K
THE IMPORTED GRAPE LLC,1.92K
FLAG HILL WINERY & VINEYARD,1.89K
MARSALLE COMPANY,1.74K
WEIN BAUER INC,1.73K
WALPOLE MTN VIEW WINERY,1.65K
FULCHINO VINEYARD INC,1.35K
"PREMIUM PORT WINES, INC.",1.11K
LAIRD & CO,1.01K
STELLAR IMPORTING CO LLC,966.88
VINEXTRA INC,884.3799999999999
CANDIA VINEYARDS,812.1299999999999
INCREDIBREW INC,795.8
PERFECTA WINES,791.1599999999917
SMOKY QUARTZ DISTILLERY LLC,759.0200000000004
CENTEUR IMPORTS LLC,655.32
TALL SHIP DISTILLERY LLC,551.3800000000001
FABRIZIA SPIRITS LLC,511.2400000000007
ALTAMAR BRANDS LLC,464.23
HAUNTING WHISPER VYDS,456.01
TAKARA SAKE USA INC,384.99999999999994
TY KU LLC,287.7
BRONCO WINE COMPANY,250.58
PREMIER DISTRIBUTORS,172.10000000000014
AMERICAN SPIRITS EXCHANGE,116.76
HIGHLAND WINE MERCHANTS LLC,91.07
UNCORKED,0.0
BLACK ROCK SPIRITS LLC,0.0
